20 


Ciclos

SELECCION RULETA SIN ELITISMO


Ciclo  1  Cromosoma:  111010001011001111010110110111


Ciclo  2  Cromosoma:  111101011001111110111101100001


Ciclo  3  Cromosoma:  111011011001111110110110110111


Ciclo  4  Cromosoma:  111011011001111110110110110111


Ciclo  5  Cromosoma:  111011011001111110111000110101


Ciclo  6  Cromosoma:  111011011001111110111000110101


Ciclo  7  Cromosoma:  111011011001111110111000110111


Ciclo  8  Cromosoma:  111011011001111110111000110101


Ciclo  9  Cromosoma:  111011011010000010110110110101


Ciclo  10  Cromosoma:  111011011011111110111000110101


Ciclo  11  Cromosoma:  111111011001100010110110010101


Ciclo  12  Cromosoma:  111111011001100010110110010101


Ciclo  13  Cromosoma:  111011011011111110111000010101


Ciclo  14  Cromosoma:  111011011011111110111000010101


Ciclo  15  Cromosoma:  111011011011111110111000011101


Ciclo  16  Cromosoma:  111011011011111110111000011101


Ciclo  17  Cromosoma:  111011011011111110111000011101


Ciclo  18  Cromosoma:  111011011011111110111000011101


Ciclo  19  Cromosoma:  111011011011111110111000011101


Ciclo  20  Cromosoma:  111011011011111110111000010101
SELECCION RULETA CON ELITISMO


Ciclo  1  Cromosoma:  111010001011001111010110110111


Ciclo  2  Cromosoma:  111010001011001111010110110111


Ciclo  3  Cromosoma:  111010001011001111011101100001


Ciclo  4  Cromosoma:  111010001011001111011101100001


Ciclo  5  Cromosoma:  111010001011001111011101100001


Ciclo  6  Cromosoma:  111010001011111110111100100001


Ciclo  7  Cromosoma:  111101011001001110111000101001


Ciclo  8  Cromosoma:  111101011001001111010110110011


Ciclo  9  Cromosoma:  111101011001001111010110110011


Ciclo  10  Cromosoma:  111101011001001111010110110011


Ciclo  11  Cromosoma:  111101011001001111010110110011


Ciclo  12  Cromosoma:  111110001011001111011000101001


Ciclo  13  Cromosoma:  111110011001001111010110110011


Ciclo  14  Cromosoma:  111110011001001111011000100011


Ciclo  15  Cromosoma:  111110011001001111011100101001


Ciclo  16  Cromosoma:  111110011001001111011100101001


Ciclo  17  Cromosoma:  111110011001001111011100101001


Ciclo  18  Cromosoma:  111110011001001111011100101001


Ciclo  19  Cromosoma:  111110011001001111011100101011


Ciclo  20  Cromosoma:  111110011001001111011100101011
SELECCION TORNEO SIN ELITISMO


Ciclo  1  Cromosoma:  111010001111001111111101100001


Ciclo  2  Cromosoma:  111011011001111110111101100001


Ciclo  3  Cromosoma:  111011011001111111011101110111


Ciclo  4  Cromosoma:  111011011001111111011101110111


Ciclo  5  Cromosoma:  111011011001111111011101110111


Ciclo  6  Cromosoma:  111011011001111111011101110111


Ciclo  7  Cromosoma:  111011011001111111011101110111


Ciclo  8  Cromosoma:  111011011001111111011101110111


Ciclo  9  Cromosoma:  111011011001111111011101111111


Ciclo  10  Cromosoma:  111011011001111111011101111111


Ciclo  11  Cromosoma:  111011011001111111011101111111


Ciclo  12  Cromosoma:  111011011001111111011101111111


Ciclo  13  Cromosoma:  111011011001111111011101111111


