20

SELECCION RULETA SIN ELITISMO

Ciclo  1  Cromosoma:  101011011100010010001001001101

Ciclo  2  Cromosoma:  101011011100010010001001001101

Ciclo  3  Cromosoma:  111111001110010010001001001010

Ciclo  4  Cromosoma:  111111001110010010001001001010

Ciclo  5  Cromosoma:  111111001110010010001001001010

Ciclo  6  Cromosoma:  111111001110010010001001001010

Ciclo  7  Cromosoma:  111111001110010010001001001010

Ciclo  8  Cromosoma:  111111001110010010001001001010

Ciclo  9  Cromosoma:  111111001110010010001001001010

Ciclo  10  Cromosoma:  111111001110010010001001001010

Ciclo  11  Cromosoma:  111111001110010010001001001010

Ciclo  12  Cromosoma:  111111001110010010001001001010

Ciclo  13  Cromosoma:  111111101110010010001001001000

Ciclo  14  Cromosoma:  111111101110010010001001001000

Ciclo  15  Cromosoma:  111111101110010010001001001000

Ciclo  16  Cromosoma:  111111101110010010011001001010

Ciclo  17  Cromosoma:  111111101110010010001001001010

Ciclo  18  Cromosoma:  111111101110010010001001001010

Ciclo  19  Cromosoma:  111111101110010010001001001010

Ciclo  20  Cromosoma:  111111101110010010001001001010

SELECCION RULETA CON ELITISMO

Ciclo  1  Cromosoma:  101011011100010010001100001111

Ciclo  2  Cromosoma:  101011011100010010001100001111

Ciclo  3  Cromosoma:  101011011100010010001100001111

Ciclo  4  Cromosoma:  101011011100010010001100001111

Ciclo  5  Cromosoma:  101011011100010010001100001111

Ciclo  6  Cromosoma:  101011011100010010001101001101

Ciclo  7  Cromosoma:  101011011100010010001101001101

Ciclo  8  Cromosoma:  101011011100010010001101001101

Ciclo  9  Cromosoma:  101011011100010010001101001101

Ciclo  10  Cromosoma:  101011011101010010001101001101

Ciclo  11  Cromosoma:  101011011101010010001101001101

Ciclo  12  Cromosoma:  101011011101010010001101001111

Ciclo  13  Cromosoma:  101011011101010010001101001111

Ciclo  14  Cromosoma:  101011011101010010001101001111

Ciclo  15  Cromosoma:  111011011100010010001101001111

Ciclo  16  Cromosoma:  111011011101010010001101001111

Ciclo  17  Cromosoma:  111011011101010010001101001111

Ciclo  18  Cromosoma:  111011011101010010001101001111

Ciclo  19  Cromosoma:  111011011101010010001101001111

Ciclo  20  Cromosoma:  111011011101010010001101001111
SELECCION TORNEO SIN ELITISMO

Ciclo  1  Cromosoma:  101011011100010101000110011010

Ciclo  2  Cromosoma:  111011011100010101000110011010

Ciclo  3  Cromosoma:  111011011100010101000110011101

Ciclo  4  Cromosoma:  111011011100010101000110011101

Ciclo  5  Cromosoma:  111011011100010101001110011101

Ciclo  6  Cromosoma:  111011011100110101000110011101

Ciclo  7  Cromosoma:  111011011100110101001110011101

Ciclo  8  Cromosoma:  111011011100110101001110011101

Ciclo  9  Cromosoma:  111011011100110101001110011101

Ciclo  10  Cromosoma:  111011011100110101001110011101

Ciclo  11  Cromosoma:  111011011100110101001110011101

Ciclo  12  Cromosoma:  111011011100110101001110011101

Ciclo  13  Cromosoma:  111011011100110101001110111101

Ciclo  14  Cromosoma:  111011011100110101001110111101

Ciclo  15  Cromosoma:  111011011100110101001110111101

Ciclo  16  Cromosoma:  111011011100110101001110111101

Ciclo  17  Cromosoma:  111011011100110101001110111101

Ciclo  18  Cromosoma:  111011011100110101001110111101

Ciclo  19  Cromosoma:  111011011100110101001110111101

Ciclo  20  Cromosoma:  111011011100110101001110111101
SELECCION TORNEO CON ELITISMO

Ciclo  1  Cromosoma:  101011011101110101000110011010

Ciclo  2  Cromosoma:  101011110011101100001100001101

Ciclo  3  Cromosoma:  101111011101110101001110011010

Ciclo  4  Cromosoma:  101111011101110101001110011010

Ciclo  5  Cromosoma:  101111011101110101001110011010

Ciclo  6  Cromosoma:  101111011101110101001110011010

Ciclo  7  Cromosoma:  101111011101110101001110011010

Ciclo  8  Cromosoma:  101111011101110101001110011010

Ciclo  9  Cromosoma:  101111011101110101001110011010

Ciclo  10  Cromosoma:  101111111101110101001110011010

Ciclo  11  Cromosoma:  101111111101110101001110011010

Ciclo  12  Cromosoma:  101111111101110101001110011010

Ciclo  13  Cromosoma:  101111111101110101001110011010

Ciclo  14  Cromosoma:  101111111101110101001110011010

Ciclo  15  Cromosoma:  101111111101110101001110011010

Ciclo  16  Cromosoma:  101111111101110101001110011010

Ciclo  17  Cromosoma:  101111111101110101001110011010

Ciclo  18  Cromosoma:  101111111101110101001110011010

Ciclo  19  Cromosoma:  101111111101110101001110011010

Ciclo  20  Cromosoma:  101111111101110101011110011010

100

SELECCION RULETA SIN ELITISMO

Ciclo  1  Cromosoma:  111111010011111101111010101010

Ciclo  2  Cromosoma:  111111010011111101111010110111

Ciclo  3  Cromosoma:  111111010011111101111010110111

Ciclo  4  Cromosoma:  111111010110100101011110010111

Ciclo  5  Cromosoma:  111111011110100101000010010010

Ciclo  6  Cromosoma:  111111010110100101011110010111

Ciclo  7  Cromosoma:  111111010110100101011110010111

Ciclo  8  Cromosoma:  111111010110100101011110010111

Ciclo  9  Cromosoma:  111111010110100101011110110111

Ciclo  10  Cromosoma:  111111010011100101011110010111

Ciclo  11  Cromosoma:  111111010110100101000110110111

Ciclo  12  Cromosoma:  111111010110100100011110110111

Ciclo  13  Cromosoma:  111111010110100100011110110111

Ciclo  14  Cromosoma:  111111010011100101011110010111

Ciclo  15  Cromosoma:  111111010011100101011110010111

Ciclo  16  Cromosoma:  111111010011100101011110010111

Ciclo  17  Cromosoma:  111111010011100101011110010111

Ciclo  18  Cromosoma:  111111010011100101011110010111

Ciclo  19  Cromosoma:  111111010011100101011110010111

Ciclo  20  Cromosoma:  111111010011110101011110010111

Ciclo  21  Cromosoma:  111111010011100101011110010111

Ciclo  22  Cromosoma:  111111010011100101011110010111

Ciclo  23  Cromosoma:  111111010011100101011110010111

Ciclo  24  Cromosoma:  111111010011100101011110010111

Ciclo  25  Cromosoma:  111111010011100101011110010111

Ciclo  26  Cromosoma:  111111010011100101011110010111

Ciclo  27  Cromosoma:  111111010011100101011110010111

Ciclo  28  Cromosoma:  111111010011100101011110010111

Ciclo  29  Cromosoma:  111111010011100101011110010111

Ciclo  30  Cromosoma:  111111010011110101011110010111

Ciclo  31  Cromosoma:  111111010011110101011110010111

Ciclo  32  Cromosoma:  111111010011110101011110010111

Ciclo  33  Cromosoma:  111111010111110101011110010111

Ciclo  34  Cromosoma:  111111010111110101011110010111

Ciclo  35  Cromosoma:  111111010111110101011110010111

Ciclo  36  Cromosoma:  111111011111110101011110010111

Ciclo  37  Cromosoma:  111111011111110101011110010111

Ciclo  38  Cromosoma:  111111010011110101011110010111

Ciclo  39  Cromosoma:  111111010011100101011110010111

Ciclo  40  Cromosoma:  111111010011100101011110010111

Ciclo  41  Cromosoma:  111111010011100101011110010111

Ciclo  42  Cromosoma:  111111010011100101011110010111

Ciclo  43  Cromosoma:  111111010011100101011110010111

Ciclo  44  Cromosoma:  111111010011110101011110010111

Ciclo  45  Cromosoma:  111111010011100101011110010111

Ciclo  46  Cromosoma:  111111010011100101011110010111

Ciclo  47  Cromosoma:  111111010011100101011110010111

Ciclo  48  Cromosoma:  111111010011100101011110010111

Ciclo  49  Cromosoma:  111111010011100101011110010111

Ciclo  50  Cromosoma:  111111010011100101011110010111

Ciclo  51  Cromosoma:  111111010011100101011110010111

Ciclo  52  Cromosoma:  111111010111100101011110010111

Ciclo  53  Cromosoma:  111111010011100101011110010111

Ciclo  54  Cromosoma:  111111010011100101011110010111

Ciclo  55  Cromosoma:  111111010011100101011110010111

Ciclo  56  Cromosoma:  111111010011100101011110010111

Ciclo  57  Cromosoma:  111111010011100101011110010111

Ciclo  58  Cromosoma:  111111010011100101011110010111

Ciclo  59  Cromosoma:  111111010011100101011110010111

Ciclo  60  Cromosoma:  111111010011100101011110010111

Ciclo  61  Cromosoma:  111111010011100101011110010111

Ciclo  62  Cromosoma:  111111010011100101011110010111

Ciclo  63  Cromosoma:  111111010011100101011110010111

Ciclo  64  Cromosoma:  111111010011100101011110010111

Ciclo  65  Cromosoma:  111111010011100101011110010111

Ciclo  66  Cromosoma:  111111010011100101011110010111

Ciclo  67  Cromosoma:  111111010011100101011110010111

Ciclo  68  Cromosoma:  111111010011100101011110110111

Ciclo  69  Cromosoma:  111111010011100101011110110111

Ciclo  70  Cromosoma:  111111010011100101011110110111

Ciclo  71  Cromosoma:  111111010011100101011110110111

Ciclo  72  Cromosoma:  111111010111100101011110010111

Ciclo  73  Cromosoma:  111111010111100101011110010111

Ciclo  74  Cromosoma:  111111010011100101011110110111

Ciclo  75  Cromosoma:  111111010011100101011111010111

Ciclo  76  Cromosoma:  111111010011100101011111010111

Ciclo  77  Cromosoma:  111111010011100101011111010111

Ciclo  78  Cromosoma:  111111010011100101011111010111

Ciclo  79  Cromosoma:  111111010011100101011111010111

Ciclo  80  Cromosoma:  111111010011100101011111010111

Ciclo  81  Cromosoma:  111111010011100101011111010111

Ciclo  82  Cromosoma:  111111010011100101011111010111

Ciclo  83  Cromosoma:  111111010011100101011111011111

Ciclo  84  Cromosoma:  111111010011100101011111011111

Ciclo  85  Cromosoma:  111111010111100101011111011111

Ciclo  86  Cromosoma:  111111010111100101011111011111

Ciclo  87  Cromosoma:  111111010111100101011111011111

Ciclo  88  Cromosoma:  111111010111100101011111011111

Ciclo  89  Cromosoma:  111111010111100101011110110111

Ciclo  90  Cromosoma:  111111010011110101011111011111

Ciclo  91  Cromosoma:  111111010011100101011111011111

Ciclo  92  Cromosoma:  111111010011100101011111011111

Ciclo  93  Cromosoma:  111111010011100101011111011111

Ciclo  94  Cromosoma:  111111010011100101011111011111

Ciclo  95  Cromosoma:  111111010011100101011111010111

Ciclo  96  Cromosoma:  111111010011100101011111110111

Ciclo  97  Cromosoma:  111111010011100101011111010111

Ciclo  98  Cromosoma:  111111010011100101011111010111

Ciclo  99  Cromosoma:  111111010011100101011111110111

Ciclo  100  Cromosoma:  111111010011100101011111110111
SELECCION RULETA CON ELITISMO

Ciclo  1  Cromosoma:  111111010011111101111010010111

Ciclo  2  Cromosoma:  111111010011111101111010010111

Ciclo  3  Cromosoma:  111111010011111101111110101011

Ciclo  4  Cromosoma:  111111010011111101111110101011

Ciclo  5  Cromosoma:  111111010011111101111110101011

Ciclo  6  Cromosoma:  111111010011111101111110101011

Ciclo  7  Cromosoma:  111111010011111101111110101011

Ciclo  8  Cromosoma:  111111010011111101111110101011
